Hex signature,ISO 8859-1,Offset,Extension,Description,
23 21,#!,0,,Script or data to be passed to the program following the shebang (#!),
D4 C3 B2 A1 (little-endian),ÔÃ²¡,0,pcap,Libpcap File Format,
A1 B2 C3 D4 (big-endian),¡²ÃÔ,0,pcap,Libpcap File Format,
4D 3C B2 A1 (little-endian),M<²¡,0,pcap,Libpcap File Format (nanosecond-resolution),
A1 B2 3C 4D (big-endian),¡²<M,0,pcap,Libpcap File Format (nanosecond-resolution),
0A 0D 0D 0A,␊␍␍␊,0,pcapng,PCAP Next Generation Dump File Format,
ED AB EE DB,í«îÛ,0,rpm,RedHat Package Manager (RPM) package,
"53 51 4C 69 74 65 20 66
6F 72 6D 61 74 20 33 00",SQLite format 3␀,0,"sqlitedb
sqlite
db",SQLite Database,
53 50 30 31,SP01,0,bin,Amazon Kindle Update Package,
49 57 41 44,IWAD,0,wad,internal WAD (main resource file of Doom),
0,␀,0,"PIC
PIF
SEA
YTR","IBM Storyboard bitmap file
Windows Program Information File
Mac Stuffit Self-Extracting Archive
IRIS OCR data file",
"00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00","␀␀␀␀␀␀␀␀
␀␀␀␀␀␀␀␀
␀␀␀␀␀␀␀␀",11,PDB,PalmPilot Database/Document File,
BE BA FE CA,¾ºþÊ,0,DBA,Palm Desktop Calendar Archive,
00 01 42 44,␀␁BD,0,DBA,Palm Desktop To Do Archive,
00 01 44 54,␀␁DT,0,TDA,Palm Desktop Calendar Archive,
54 44 46 24,TDF$,0,TDF$,Telegram Desktop File,
54 44 45 46,TDEF,0,TDEF,Telegram Desktop Encrypted File,
00 01 00 00,␀␁␀␀,0,,Palm Desktop Data File (Access format),
00 00 01 00,␀␀␁␀,0,ico,Computer icon encoded in ICO file format,
69 63 6e 73,icns,0,icns,Apple Icon Image format,
66 74 79 70 33 67,ftyp3g,4,"3gp
3g2",3rd Generation Partnership Project 3GPP and 3GPP2 multimedia files,
1F 9D,␟□,0,"z
tar.z",compressed file (often tar zip) using Lempel-Ziv-Welch algorithm,
1F A0,␟⍽,0,"z
tar.z",Compressed file (often tar zip) using LZH algorithm,
2D 68 6C 30 2D,-lh0-,2,lzh,Lempel Ziv Huffman archive file Method 0 (No compression),
2D 68 6C 35 2D,-lh5-,2,lzh,Lempel Ziv Huffman archive file Method 5 (8KiB sliding window),
"42 41 43 4B 4D 49 4B 45
44 49 53 4B",BACKMIKEDISK,0,bac,AmiBack Amiga Backup data file,
49 4E 44 58,INDX,0,idx,AmiBack Amiga Backup index file,
62 70 6C 69 73 74,bplist,0,plist,Binary Property List file,
42 5A 68,BZh,0,bz2,Compressed file using Bzip2 algorithm,
"47 49 46 38 37 61
47 49 46 38 39 61","GIF87a
GIF89a",0,gif,Image file encoded in the Graphics Interchange Format (GIF),
49 49 2A 00 (little-endian),II*␀,0,"tif
tiff",Tagged Image File Format (TIFF),
4D 4D 00 2A (big-endian),MM␀*,0,"tif
tiff",Tagged Image File Format (TIFF),
"49 49 2A 00 10 00 00 00
43 52",II*␀␐␀␀␀CR,0,cr2,"Canon RAW Format Version 2
Canon's RAW format is based on TIFF.",
80 2A 5F D7,€*_×,0,cin,Kodak Cineon image,
"52 4E 43 01
52 4E 43 02","RNC␁
RNC␂",0,,Compressed file using Rob Northen Compression (version 1 and 2) algorithm,
"4E 55 52 55 49 4D 47
4E 55 52 55 50 41 4C","NURUIMG
NURUPAL",0,"nui
nup",nuru ASCII/ANSI image and palette files,
53 44 50 58 (big-endian format),SDPX,0,dpx,SMPTE DPX image,
58 50 44 53 (little-endian format),XPDS,0,dpx,SMPTE DPX image,
76 2F 31 01,v/1␁,0,exr,OpenEXR image,
42 50 47 FB,BPGû,0,bpg,Better Portable Graphics format,
FF D8 FF DB,ÿØÿÛ,0,"jpg
jpeg",JPEG raw or in the JFIF or Exif file format,
"FF D8 FF E0 00 10 4A 46
49 46 00 01",ÿØÿà␀␐JFIF␀␁,0,"jpg
jpeg",JPEG raw or in the JFIF or Exif file format,
FF D8 FF EE,ÿØÿî,0,"jpg
jpeg",JPEG raw or in the JFIF or Exif file format,
"FF D8 FF E1 ?? ?? 45 78
69 66 00 00",ÿØÿá??Exif␀␀,0,"jpg
jpeg",JPEG raw or in the JFIF or Exif file format,
FF D8 FF E0,ÿØÿà,0,jpg,JPEG raw or in the JFIF or Exif file format,
00 00 00 0C 6A 50 20 20 0D 0A 87 0A,␀␀␀␌jP␠␠␍␊‡␊,0,"jp2
j2k
jpf
jpm
jpg2
j2c
jpc
jpx
mj2",JPEG 2000 format,
FF 4F FF 51,ÿOÿQ,0,"jp2
j2k
jpf
jpm
jpg2
j2c
jpc
jpx
mj2",JPEG 2000 format,
71 6f 69 66,qoif,0,,QOI - The “Quite OK Image Format”,
"46 4F 52 4D ?? ?? ?? ??
49 4C 42 4D",FORM????ILBM,"0
any","ilbm
lbm
ibm
iff",IFF Interleaved Bitmap Image,
"46 4F 52 4D ?? ?? ?? ??
38 53 56 58",FORM????8SVX,"0
any","8svx
8sv
svx
snd
iff",IFF 8-Bit Sampled Voice,
"46 4F 52 4D ?? ?? ?? ??
41 43 42 4D",FORM????ACBM,"0
any","acbm
iff",Amiga Contiguous Bitmap,
"46 4F 52 4D ?? ?? ?? ??
41 4E 42 4D",FORM????ANBM,"0
any","anbm
iff",IFF Animated Bitmap,
"46 4F 52 4D ?? ?? ?? ??
41 4E 49 4D",FORM????ANIM,"0
any","anim
iff",IFF CEL Animation,
"46 4F 52 4D ?? ?? ?? ??
46 41 58 58",FORM????FAXX,"0
any","faxx
fax
iff",IFF Facsimile Image,
"46 4F 52 4D ?? ?? ?? ??
46 54 58 54",FORM????FTXT,"0
any","ftxt
iff",IFF Formatted Text,
"46 4F 52 4D ?? ?? ?? ??
53 4D 55 53",FORM????SMUS,"0
any","smus
smu
mus
iff",IFF Simple Musical Score,
"46 4F 52 4D ?? ?? ?? ??
43 4D 55 53",FORM????CMUS,"0
any","cmus
mus
iff",IFF Musical Score,
"46 4F 52 4D ?? ?? ?? ??
59 55 56 4E",FORM????YUVN,"0
any","yuvn
yuv
iff",IFF YUV Image,
"46 4F 52 4D ?? ?? ?? ??
46 41 4E 54",FORM????FANT,"0
any",iff,Amiga Fantavision Movie,
"46 4F 52 4D ?? ?? ?? ??
41 49 46 46",FORM????AIFF,"0
any","aiff
aif
aifc
snd
iff",Audio Interchange File Format,
4C 5A 49 50,LZIP,0,lz,lzip compressed file,
30 37 30 37 30 37,70707,0,cpio,cpio archive file,
4D 5A,MZ,0,"exe
scr
sys
dll
fon
cpl
iec
ime
rs
tsp
mz",DOS MZ executable and its descendants (including NE and PE),
5A 4D,ZM,0,exe,DOS ZM executable and its descendants (rare),
"50 4B 03 04
50 4B 05 06 (empty archive)
50 4B 07 08 (spanned archive)","PK␃␄
PK␅␆
PK␇␈",0,"zip
aar
apk
docx
epub
ipa
jar
kmz
maff
msix
odp
ods
odt
pk3
pk4
pptx
usdz
vsdx
xlsx
xpi","zip file format and formats based on it, such as EPUB, JAR, ODF, OOXML",
52 61 72 21 1A 07 00,Rar!␚␇␀,0,rar,Roshal ARchive compressed archive v1.50 onwards,
52 61 72 21 1A 07 01 00,Rar!␚␇␁␀,0,rar,Roshal ARchive compressed archive v5.00 onwards,
7F 45 4C 46,␡ELF,0,,Executable and Linkable Format,
89 50 4E 47 0D 0A 1A 0A,‰PNG␍␊␚␊,0,png,Image encoded in the Portable Network Graphics format,
C9,É,0,com,CP/M 3 and higher with overlays,
CA FE BA BE,Êþº¾,0,class,"Java class file, Mach-O Fat Binary",
EF BB BF,ï»¿,0,"txt
others","UTF-8 byte order mark, commonly seen in text files.",
FF FE,ÿþ,0,"txt
others","UTF-16LE byte order mark, commonly seen in text files.",
FE FF,þÿ,0,"txt
others","UTF-16BE byte order mark, commonly seen in text files.",
FF FE 00 00,ÿþ␀␀,0,"txt
others",UTF-32LE byte order mark for text,
00 00 FE FF,␀␀þÿ,0,"txt
others",UTF-32BE byte order mark for text,
"2B 2F 76 38
2B 2F 76 39
2B 2F 76 2B
2B 2F 76 2F","+/v8
+/v9
+/v+
+/v/",0,,UTF-7 byte order mark for text,
0E FE FF,␎þÿ,0,"txt
others",SCSU byte order mark for text,
DD 73 66 73,Ýsfs,0,,UTF-EBCDIC byte order mark for text,
FE ED FA CE,þíúÎ,"0
0x1000",,Mach-O binary (32-bit),
FE ED FA CF,þíúÏ,"0
0x1000",,Mach-O binary (64-bit),
FE ED FE ED,þíþí,0,,JKS JavakeyStore,
CE FA ED FE,Îúíþ,0,,"Mach-O binary (reverse byte ordering scheme, 32-bit)",
CF FA ED FE,Ïúíþ,0,,"Mach-O binary (reverse byte ordering scheme, 64-bit)",
25 21 50 53,%!PS,0,ps,PostScript document,
25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 30 20 45 50 53 46 2D 33 2E 30,%!PS-Adobe-3.0 ESPF-3.0,0,"eps
epsf",Encapsulated PostScript file version 3.0,
25 21 50 53 2D 41 64 6F 62 65 2D 33 2E 31 20 45 50 53 46 2D 33 2E 30,%!PS-Adobe-3.1 ESPF-3.0,0,"eps
epsf",Encapsulated PostScript file version 3.1,
"49 54 53 46 03 00 00 00
60 00 00 00",ITSF␃␀␀␀`␀␀␀,0,chm,MS Windows HtmlHelp Data,
3F 5F,?_,0,hlp,Windows 3.x/95/98 Help file,
25 50 44 46 2D,%PDF-,0,pdf,PDF document,
"30 26 B2 75 8E 66 CF 11
A6 D9 00 AA 00 62 CE 6C",0&²uŽfÏ␑¦Ù␀ª␀bÎl,0,"asf
wma
wmv",Advanced Systems Format,
24 53 44 49 30 30 30 31,$SDI0001,0,,"System Deployment Image, a disk image format used by Microsoft",
4F 67 67 53,OggS,0,"ogg
oga
ogv","Ogg, an open source media container format",
38 42 50 53,8BPS,0,psd,"Photoshop Document file, Adobe Photoshop's native file format",
